R_Height,R_Weight,R_Reach,R_Stance,R_age,R_SLpM,R_Str_Acc,R_SApM,R_Str_Def,R_TD_Avg,R_TD_Acc,R_TD_Def,R_Sub_Avg,B_Height,B_Weight,B_Reach,B_Stance,B_age,B_SLpM,B_Str_Acc,B_SApM,B_Str_Def,B_TD_Avg,B_TD_Acc,B_TD_Def,B_Sub_Avg,R_hist_sig_str_avg,R_hist_td_avg,R_hist_ctrl_avg,R_hist_sig_str_pct_avg,R_hist_td_pct_avg,R_hist_won_avg,R_hist_fights_before,B_hist_sig_str_avg,B_hist_td_avg,B_hist_ctrl_avg,B_hist_sig_str_pct_avg,B_hist_td_pct_avg,B_hist_won_avg,B_hist_fights_before,date,target
67.0,135.0,70.0,Orthodox,27.304585900068446,4.69,0.44,2.31,0.55,0.0,0.0,1.0,0.0,65.0,135.0,67.0,Orthodox,31.72895277207392,2.24,0.41,4.65,0.51,1.07,0.5,0.27,0.5,17.0,0.0,,50.0,,1.0,1,20.0,1.0,,42.0,66.0,0.5,2,2021-03-20,1
72.0,185.0,74.0,Orthodox,28.618754277891856,3.26,0.56,1.88,0.62,1.37,0.8,0.79,0.3,74.0,205.0,76.0,Orthodox,32.67898699520876,2.98,0.51,1.75,0.61,1.75,0.5,0.33,2.2,43.166666666666664,1.1666666666666667,,58.333333333333336,83.33333333333333,0.6666666666666666,6,35.0,1.5,,66.0,60.0,1.0,2,2021-03-20,1
74.0,264.0,75.0,Southpaw,28.01095140314853,4.38,0.5,3.44,0.5,0.0,0.0,0.46,0.0,74.0,241.0,75.0,Orthodox,32.20807665982204,4.33,0.51,8.44,0.41,0.0,0.0,0.0,0.0,34.57142857142857,0.0,,52.57142857142857,0.0,0.5714285714285714,7,,,,,,,0,2021-03-20,1
63.0,115.0,63.0,Switch,25.73579739904175,4.1,0.53,1.67,0.65,0.0,0.0,0.6,0.0,60.0,115.0,61.0,Southpaw,28.123203285420946,1.0,0.36,2.07,0.52,4.0,0.8,0.0,2.0,,,,,,,0,,,,,,,0,2021-03-20,0
66.0,135.0,68.0,Orthodox,43.748117727583846,3.29,0.41,3.37,0.61,0.66,0.63,0.5,0.8,71.0,135.0,72.0,Orthodox,29.648186173853524,4.16,0.49,2.17,0.46,0.98,0.21,0.64,0.5,44.63636363636363,0.45454545454545453,,41.18181818181818,87.5,0.45454545454545453,11,40.8,0.6,,54.0,12.333333333333334,0.8,5,2021-03-20,0
72.0,155.0,75.0,Orthodox,41.11978097193703,2.65,0.44,2.77,0.58,1.07,0.29,0.89,0.3,70.0,145.0,72.0,Switch,27.077344284736483,3.4,0.48,2.1,0.51,3.44,0.34,0.4,1.6,28.625,0.75,,47.0,37.714285714285715,0.875,8,38.0,3.25,,51.5,45.75,1.0,4,2021-03-20,0
72.0,170.0,71.0,Orthodox,31.028062970568104,4.39,0.46,4.37,0.54,0.0,0.0,0.5,0.0,71.0,170.0,76.0,Orthodox,35.304585900068446,4.14,0.48,3.94,0.56,1.7,0.51,0.66,0.5,36.4,0.0,,55.6,,0.8,5,53.2,1.5,,47.3,37.5,0.4,10,2021-03-20,0
73.0,185.0,77.0,Southpaw,37.20739219712526,3.46,0.47,2.72,0.53,3.11,0.33,0.94,0.5,75.0,185.0,81.0,Orthodox,28.369609856262834,4.14,0.56,2.58,0.56,1.08,0.45,0.51,0.7,28.470588235294116,1.3529411764705883,,45.64705882352941,23.363636363636363,0.7058823529411765,17,45.4,0.9,,65.5,47.57142857142857,0.8,10,2021-03-20,1
70.0,135.0,75.0,Southpaw,28.903490759753595,3.77,0.55,1.5,0.56,4.15,0.77,0.66,0.2,67.0,135.0,70.0,Orthodox,29.809719370294317,7.12,0.56,7.63,0.42,0.0,0.0,0.0,0.0,43.4,3.6,,59.2,78.5,0.6,5,,,,,,,0,2021-03-20,1
72.0,185.0,,,31.685147159479808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,125.0,67.0,Orthodox,24.8870636550308,2.66,0.45,3.05,0.43,2.22,0.5,0.33,2.2,37.333333333333336,3.0,,42.333333333333336,31.666666666666668,0.0,3,,,,,,,0,2021-03-20,1
